email_id,subject,text,label
1502,Job Application,Please find my resume attached for your consideration. Please respond when convenient. This update is scheduled for Thursday.,job_career
2587,Schedule Update,I would like to arrange a meeting to discuss the project. Please respond when convenient. This update is scheduled for Tuesday.,meetings
2654,Schedule Update,The team meeting has been scheduled for Monday at 10 AM. Please respond when convenient. This update is scheduled for Tuesday.,meetings
1056,Weekend Plans,I hope you are doing well. Let me know when we can catch up. Please respond when convenient. This update is scheduled for Friday.,personal
706,Order Issue,The service is not working properly. Please check the problem. Please respond when convenient. This update is scheduled for Friday.,customer_support
107,Quarterly Report,The client has requested an update on the project timeline. Please respond when convenient. This update is scheduled for Tuesday.,business
590,Service Problem,My product arrived damaged. Please help me with a replacement. Please respond when convenient. This update is scheduled for Wednesday.,customer_support
2469,Payment Update,Your invoice is due for payment by the end of this month. Please respond when convenient. This update is scheduled for Monday.,finance
2414,Payment Update,Could you confirm whether my refund has been issued? Please respond when convenient. This update is scheduled for Thursday.,finance
1601,Career Opportunity,Could you provide an update regarding my job application? Please respond when convenient. This update is scheduled for Tuesday.,job_career
2465,Account Statement,The payment has been processed successfully. Please respond when convenient. This update is scheduled for Tuesday.,finance
229,Quarterly Report,We need your approval before proceeding with the business plan. Please respond when convenient. This update is scheduled for Tuesday.,business
916,Order Issue,My product arrived damaged. Please help me with a replacement. Please respond when convenient. This update is scheduled for Monday.,customer_support
795,Support Request,I am having trouble with my order and need some assistance. Please respond when convenient. This update is scheduled for Friday.,customer_support
3022,Travel Confirmation,Can you help me book a hotel for my business trip? Please respond when convenient. This update is scheduled for Wednesday.,travel
3544,Event Invitation,We are organizing a celebration and would love you to join us. Please respond when convenient. This update is scheduled for Wednesday.,events
1074,Checking In,I wanted to check how you are doing. Please respond when convenient. This update is scheduled for Tuesday.,personal
3352,Travel Confirmation,Can you help me book a hotel for my business trip? Please respond when convenient. This update is scheduled for Monday.,travel
1745,Job Application,I am interested in learning more about the internship opportunity. Please respond when convenient. This update is scheduled for Friday.,job_career
1085,Weekend Plans,Are you free to meet for dinner this weekend? Please respond when convenient. This update is scheduled for Wednesday.,personal
927,Service Problem,I am having trouble with my order and need some assistance. Please respond when convenient. This update is scheduled for Monday.,customer_support
3050,Travel Confirmation,I would like to change the date of my hotel reservation. Please respond when convenient. This update is scheduled for Friday.,travel
1118,Checking In,Would you like to join us for lunch tomorrow? Please respond when convenient. This update is scheduled for Thursday.,personal
643,Service Problem,I have not received my order yet and would like an update. Please respond when convenient. This update is scheduled for Monday.,customer_support
4768,Weekly Update,Here are this week's latest company updates. Please respond when convenient. This update is scheduled for Friday.,newsletter_updates
502,Order Issue,My product arrived damaged. Please help me with a replacement. Please respond when convenient. This update is scheduled for Wednesday.,customer_support
4067,Special Offer,Use this promotional code to receive a discount on your order. Please respond when convenient. This update is scheduled for Tuesday.,promotions
334,Project Update,Please find the latest sales figures attached for discussion. Please respond when convenient. This update is scheduled for Monday.,business
4685,Weekly Update,Here is your regular update with the latest information. Please respond when convenient. This update is scheduled for Friday.,newsletter_updates
487,Quarterly Report,The updated project proposal is ready for your review. Please respond when convenient. This update is scheduled for Tuesday.,business
1963,Career Opportunity,I am interested in learning more about the internship opportunity. Please respond when convenient. This update is scheduled for Wednesday.,job_career
394,Quarterly Report,The client has requested an update on the project timeline. Please respond when convenient. This update is scheduled for Wednesday.,business
4843,Monthly Newsletter,Here is your regular update with the latest information. Please respond when convenient. This update is scheduled for Wednesday.,newsletter_updates
4867,Weekly Update,This week's newsletter includes important announcements. Please respond when convenient. This update is scheduled for Monday.,newsletter_updates
1756,Job Application,Could you provide an update regarding my job application? Please respond when convenient. This update is scheduled for Wednesday.,job_career
